Player,Team,#,Nation,Position,Age,Minutes,Goals,Assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,Yellow Cards,Red Cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Carlos Augusto,Internazionale,30,BRA,CB,25-252,90,0,0,0,0,0,0,0,0,82,0,1,1,0.0,0.0,0.0,1,0,67,71,"94,4",8,40,3,1,0,2024-09-15
Stefan de Vrij,Internazionale,6,NED,CB,32-223,90,0,0,0,0,0,0,0,0,107,0,0,0,0.0,0.0,0.0,0,0,96,103,"93,2",11,65,1,0,0,2024-09-15
Benjamin Pavard,Internazionale,28,FRA,CB,28-171,90,0,0,0,0,2,0,1,0,74,2,1,1,0.2,0.2,0.1,4,0,58,63,"92,1",7,37,1,1,0,2024-09-15
Yann Sommer,Internazionale,1,SUI,GK,35-273,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,15,16,"93,8",0,8,0,0,0,2024-09-15
Ange-Yoan Bonny,Parma,13,FRA,FW,20-327,90,1,0,0,0,2,1,0,0,27,2,0,0,0.4,0.4,0.0,1,1,12,18,"66,7",0,11,0,1,1,2024-09-16
Matteo Cancellieri,Parma,22,ITA,"LW,AM",22-217,54,0,0,0,0,1,0,0,0,23,1,1,1,0.1,0.1,0.0,0,0,5,12,"41,7",1,14,2,6,3,2024-09-16
Mandela Keita,Parma,16,BEL,DM,22-129,18,0,0,0,0,0,0,2,1,7,0,0,0,0.0,0.0,0.0,0,0,5,6,"83,3",0,3,0,0,0,2024-09-16
Dennis Man,Parma,98,ROU,RW,26-021,69,0,1,0,0,1,1,0,0,27,1,0,0,0.0,0.0,0.4,3,2,17,21,"81,0",2,14,1,2,1,2024-09-16
Pontus Almqvist,Parma,11,SWE,"RM,RW",25-068,21,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,5,7,"71,4",0,3,0,0,0,2024-09-16
Valentin Mihaila,Parma,28,ROU,"AM,LW,LM",24-227,87,0,1,0,0,2,0,0,0,31,0,0,1,0.1,0.1,0.2,3,1,17,21,"81,0",1,17,2,2,1,2024-09-16
Drissa Camara,Parma,23,CIV,LW,22-211,3,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-09-16
Simon Sohm,Parma,19,SUI,"DM,AM",23-158,69,0,0,0,0,0,0,0,0,21,1,1,0,0.0,0.0,0.0,0,0,13,16,"81,3",0,9,1,0,0,2024-09-16
Hernani,Parma,27,BRA,"CM,DM,AM",30-173,21,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,12,19,"63,2",2,8,0,1,0,2024-09-16
Adrian Bernabe,Parma,10,ESP,"DM,CM",23-113,90,0,0,0,0,0,0,0,0,60,0,0,1,0.0,0.0,0.0,3,0,46,55,"83,6",4,28,0,2,1,2024-09-16
Woyo Coulibaly,Parma,26,FRA,LB,25-119,90,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.0,2,0,45,50,"90,0",4,36,1,1,0,2024-09-16
Alessandro Circati,Parma,39,AUS,CB,20-342,90,0,0,0,0,0,0,0,0,76,0,0,1,0.0,0.0,0.0,1,0,55,66,"83,3",3,43,0,0,0,2024-09-16
Botond Balogh,Parma,4,HUN,CB,22-102,87,0,0,0,0,0,0,0,0,63,1,1,1,0.0,0.0,0.0,0,0,48,52,"92,3",1,33,0,0,0,2024-09-16
Antoine Hainaut,Parma,20,FRA,RB,22-211,3,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,4,4,"100,0",0,2,0,0,0,2024-09-16
Enrico Del Prato,Parma,15,ITA,"RB,CB",24-311,90,1,0,0,0,1,1,0,0,59,0,0,1,0.1,0.1,0.0,2,0,43,52,"82,7",2,29,0,0,0,2024-09-16
Leandro Chichizola,Parma,1,ARG,GK,34-173,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,2,0,36,50,"72,0",1,30,0,0,0,2024-09-16
Lorenzo Lucca,Udinese,17,ITA,FW,24-006,65,1,0,0,0,3,1,0,0,13,0,0,0,0.3,0.3,0.0,0,0,7,8,"87,5",1,4,0,0,0,2024-09-16
Keinan Davis,Udinese,9,ENG,FW,26-216,25,0,1,0,0,1,0,1,0,20,1,0,0,0.2,0.2,1.4,4,1,9,12,"75,0",1,9,1,2,1,2024-09-16
Florian Thauvin,Udinese,10,FRA,FW,31-234,84,2,0,0,0,5,3,0,0,57,1,0,0,1.5,1.5,0.1,6,0,26,43,"60,5",7,28,7,5,2,2024-09-16
Brenner,Udinese,22,BRA,FW,24-244,6,0,0,0,0,1,1,0,0,4,0,0,0,0.1,0.1,0.0,1,0,3,3,"100,0",0,4,1,0,0,2024-09-16
Martín Payero,Udinese,5,ARG,CM,26-005,45,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,2,0,11,13,"84,6",0,11,1,2,1,2024-09-16
Jurgen Ekkelenkamp,Udinese,32,NED,CM,24-164,45,0,0,0,0,2,1,0,0,33,1,0,1,0.3,0.3,0.0,1,1,27,31,"87,1",3,12,2,1,1,2024-09-16
Jesper Karlström,Udinese,25,SWE,CM,29-087,90,0,0,0,0,1,0,0,0,54,1,2,0,0.0,0.0,0.0,1,0,40,46,"87,0",6,22,2,0,0,2024-09-16
Sandi Lovrić,Udinese,8,SVN,CM,26-172,65,0,0,0,0,2,0,0,0,39,2,1,0,0.2,0.2,0.0,5,1,27,35,"77,1",8,21,0,0,0,2024-09-16
Oier Zarraga,Udinese,6,ESP,CM,25-256,25,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.2,1,0,15,16,"93,8",2,8,1,1,1,2024-09-16
Hassane Kamara,Udinese,11,CIV,LB,30-195,90,0,1,0,0,1,0,0,0,58,1,3,1,0.0,0.0,0.5,5,1,40,47,"85,1",2,28,5,1,0,2024-09-16
Lautaro Gianetti,Udinese,30,ARG,CB,30-308,45,0,0,0,0,0,0,1,0,39,3,3,0,0.0,0.0,0.0,0,0,26,31,"83,9",0,19,0,0,0,2024-09-16
Christian Kabasele,Udinese,27,BEL,CB,33-205,45,0,0,0,0,0,0,0,0,30,2,3,0,0.0,0.0,0.0,1,0,22,23,"95,7",2,18,0,0,0,2024-09-16
Jaka Bijol,Udinese,29,SVN,CB,25-224,90,0,0,0,0,0,0,0,0,63,0,2,1,0.0,0.0,0.0,1,0,48,54,"88,9",2,35,0,0,0,2024-09-16
Thomas Kristensen,Udinese,31,DEN,CB,22-243,90,0,0,0,0,0,0,0,0,71,2,0,0,0.0,0.0,0.0,1,0,60,66,"90,9",1,36,0,0,0,2024-09-16
Kingsley Ehizibue,Udinese,19,NED,RB,29-114,90,0,0,0,0,1,0,1,0,37,0,1,0,0.0,0.0,0.2,5,0,25,34,"73,5",2,16,1,0,0,2024-09-16
Maduka Okoye,Udinese,40,NGA,GK,25-019,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,33,38,"86,8",0,18,0,0,0,2024-09-16
Valentín Castellanos,Lazio,11,ARG,FW,25-349,65,1,0,0,0,2,1,0,0,21,0,0,2,0.3,0.3,0.0,1,1,7,16,"43,8",1,11,1,1,1,2024-09-16
Gaetano Castrovilli,Lazio,22,ITA,AM,27-212,25,0,0,0,0,1,0,0,0,13,1,1,0,0.0,0.0,0.0,1,0,8,9,"88,9",2,10,2,1,0,2024-09-16
Mattia Zaccagni,Lazio,10,ITA,LW,29-092,89,0,2,0,0,2,1,0,0,43,1,1,1,0.4,0.4,0.4,5,2,22,33,"66,7",5,26,2,2,1,2024-09-16
Tijjani Noslin,Lazio,14,NED,LW,25-071,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,2,"50,0",0,1,0,0,0,2024-09-16
Gustav Isaksen,Lazio,18,DEN,RW,23-150,65,0,0,0,0,1,0,0,0,38,0,0,1,0.0,0.0,0.0,0,0,24,33,"72,7",0,26,1,1,0,2024-09-16
Loum Tchaouna,Lazio,20,FRA,RW,21-008,25,0,0,0,0,2,1,0,0,8,1,0,0,0.0,0.0,0.0,1,0,3,5,"60,0",0,4,1,0,0,2024-09-16
Boulaye Dia,Lazio,19,SEN,"AM,FW",27-305,90,1,0,0,0,2,2,0,0,36,1,0,0,0.1,0.1,0.4,5,0,27,28,"96,4",3,22,3,3,3,2024-09-16
Nicolò Rovella,Lazio,6,ITA,DM,22-287,80,0,0,0,0,1,1,1,0,69,3,0,1,0.0,0.0,0.0,2,0,60,64,"93,8",5,46,3,0,0,2024-09-16
Matías Vecino,Lazio,5,URU,DM,33-023,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,8,"87,5",0,4,0,0,0,2024-09-16
Mattéo Guendouzi,Lazio,8,FRA,DM,25-155,90,0,0,0,0,0,0,0,0,72,3,2,0,0.0,0.0,0.0,1,0,56,60,"93,3",7,49,3,1,1,2024-09-16
Nuno Tavares,Lazio,30,POR,LB,24-234,90,0,0,0,0,3,1,0,0,65,1,0,0,0.3,0.3,0.0,5,1,42,53,"79,2",4,42,5,5,2,2024-09-16
Alessio Romagnoli,Lazio,13,ITA,CB,29-248,90,0,0,0,0,0,0,0,0,74,1,0,0,0.0,0.0,0.0,1,0,67,72,"93,1",1,50,0,0,0,2024-09-16
Mario Gila,Lazio,34,ESP,CB,24-018,90,0,0,0,0,0,0,1,0,89,2,1,0,0.0,0.0,0.0,1,0,71,80,"88,8",9,67,3,0,0,2024-09-16
Manuel Lazzari,Lazio,29,ITA,RB,30-292,88,0,0,0,0,0,0,0,0,48,1,0,1,0.0,0.0,0.0,0,0,33,42,"78,6",3,28,5,2,0,2024-09-16
Adam Marušić,Lazio,77,MNE,RB,31-335,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-09-16
Ivan Provedel,Lazio,94,ITA,GK,30-183,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,33,42,"78,6",0,34,0,0,0,2024-09-16
Casper Tengstedt,Hellas Verona,11,DEN,"FW,RW",24-107,90,1,0,0,0,1,1,1,0,27,0,1,1,0.6,0.6,0.0,0,0,10,15,"66,7",1,14,3,3,0,2024-09-16
Abdou Harroui,Hellas Verona,18,NED,LW,26-247,66,0,0,0,0,1,0,0,0,31,1,0,0,0.0,0.0,0.0,0,0,11,19,"57,9",1,17,2,3,0,2024-09-16
Faride Alidou,Hellas Verona,29,GER,"LW,RM",23-060,24,0,0,0,0,1,0,0,0,12,0,0,1,0.0,0.0,0.0,2,0,5,6,"83,3",0,7,0,3,2,2024-09-16
Grigoris Kastanos,Hellas Verona,20,CYP,RW,26-230,52,0,1,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.6,1,1,5,13,"38,5",0,8,1,1,0,2024-09-16
Daniel Mosquera,Hellas Verona,35,COL,FW,24-332,38,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,6,"83,3",0,8,0,2,1,2024-09-16
Darko Lazović,Hellas Verona,8,SRB,LM,34-001,66,0,0,0,0,0,0,0,0,44,1,0,1,0.0,0.0,0.1,1,0,28,38,"73,7",3,23,1,1,0,2024-09-16
Davide Faraoni,Hellas Verona,5,ITA,"RM,CB",32-327,24,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,8,13,"61,5",1,7,1,0,0,2024-09-16
Daniel Bandeira,Hellas Verona,21,POR,CM,24-158,88,0,0,0,0,0,0,0,0,66,2,3,0,0.0,0.0,0.0,1,0,50,58,"86,2",8,38,0,0,0,2024-09-16
Alphadjo Cissè,Hellas Verona,80,ITA,CM,17-330,2,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,1,0,5,6,"83,3",1,4,0,0,0,2024-09-16
Reda Belahyane,Hellas Verona,6,FRA,CM,20-107,90,0,0,0,0,0,0,0,0,53,2,1,1,0.0,0.0,0.0,1,0,40,48,"83,3",9,41,0,3,2,2024-09-16
Jackson Tchatchoua,Hellas Verona,38,CMR,"RM,LM",23-002,90,0,0,0,0,1,0,1,0,40,0,1,1,0.1,0.1,0.0,3,0,23,32,"71,9",2,17,3,1,1,2024-09-16
Paweł Dawidowicz,Hellas Verona,27,POL,CB,29-119,90,0,0,0,0,0,0,0,0,68,1,1,0,0.0,0.0,0.0,0,0,58,61,"95,1",5,44,0,0,0,2024-09-16
Diego Coppola,Hellas Verona,42,ITA,CB,20-263,90,0,0,0,0,0,0,0,0,73,1,2,1,0.0,0.0,0.0,1,1,60,66,"90,9",0,50,0,0,0,2024-09-16
Flavius Daniliuc,Hellas Verona,4,AUT,CB,23-142,88,0,0,0,0,1,0,0,0,45,0,1,1,0.1,0.1,0.0,2,0,34,40,"85,0",1,29,0,0,0,2024-09-16
Amin Sarr,Hellas Verona,9,SWE,"LW,CB",23-189,2,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,2,"50,0",0,2,0,1,1,2024-09-16
Lorenzo Montipò,Hellas Verona,1,ITA,GK,28-209,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,17,24,"70,8",0,9,0,0,0,2024-09-16
Roberto Piccoli,Cagliari,91,ITA,FW,23-237,74,0,0,0,0,0,0,0,0,27,0,0,1,0.0,0.0,0.1,1,0,10,18,"55,6",2,12,0,2,0,2024-09-20
Gianluca Lapadula,Cagliari,9,PER,FW,34-226,16,0,0,0,0,1,0,0,0,5,1,0,0,0.1,0.1,0.0,1,0,1,2,"50,0",1,2,0,0,0,2024-09-20
Zito Luvumbo,Cagliari,77,ANG,FW,22-195,59,0,0,0,0,2,0,0,0,14,0,0,0,0.1,0.1,0.0,1,0,8,10,"80,0",2,8,1,0,0,2024-09-20
Nicolas Viola,Cagliari,10,ITA,FW,34-344,31,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,3,0,11,18,"61,1",3,8,1,1,1,2024-09-20
Alessandro Deiola,Cagliari,14,ITA,CM,29-050,90,0,0,0,0,2,0,0,0,42,4,1,0,0.2,0.2,0.1,1,0,23,31,"74,2",2,18,1,0,0,2024-09-20
Răzvan Marin,Cagliari,18,ROU,CM,28-120,70,0,0,0,0,1,0,0,0,54,4,1,2,0.1,0.1,0.0,5,0,33,43,"76,7",0,26,0,1,1,2024-09-20
Gianluca Gaetano,Cagliari,70,ITA,CM,24-138,20,0,0,0,0,4,0,0,0,14,0,1,0,0.9,0.9,0.0,3,0,7,8,"87,5",1,5,0,0,0,2024-09-20
Antoine Makoumbou,Cagliari,29,CGO,CM,26-064,45,0,0,0,0,0,0,0,0,31,0,0,3,0.0,0.0,0.0,0,0,17,24,"70,8",0,14,0,1,0,2024-09-20
Leonardo Pavoletti,Cagliari,30,ITA,CM,35-299,45,0,0,0,0,4,1,1,0,31,0,0,0,0.5,0.5,0.1,4,0,10,22,"45,5",2,9,0,0,0,2024-09-20
Tommaso Augello,Cagliari,3,ITA,WB,30-021,59,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.2,1,0,30,51,"58,8",3,21,0,1,0,2024-09-20
Paulo Azzi,Cagliari,37,BRA,WB,30-067,31,0,0,0,0,2,0,0,0,31,0,1,1,0.0,0.0,0.6,3,0,16,23,"69,6",2,10,0,1,1,2024-09-20
Nadir Zortea,Cagliari,19,ITA,WB,25-093,90,0,0,0,0,1,0,0,0,57,0,0,0,0.0,0.0,0.2,5,0,35,50,"70,0",1,34,5,2,2,2024-09-20
Sebastiano Luperto,Cagliari,6,ITA,CB,28-014,90,0,0,0,0,2,0,0,0,62,3,1,1,0.2,0.2,0.0,2,0,43,50,"86,0",4,33,1,1,0,2024-09-20
Yerry Mina,Cagliari,26,COL,CB,29-363,90,0,0,0,0,2,1,0,0,77,2,1,0,0.0,0.0,0.0,2,0,57,65,"87,7",0,43,0,0,0,2024-09-20
Gabriele Zappa,Cagliari,28,ITA,CB,24-273,90,0,0,0,0,0,0,0,0,70,1,2,1,0.0,0.0,0.0,0,0,53,64,"82,8",8,37,0,1,1,2024-09-20
Simone Scuffet,Cagliari,22,ITA,GK,28-112,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,29,39,"74,4",0,20,0,0,0,2024-09-20
Sebastiano Esposito,Empoli,99,ITA,FW,22-080,89,1,0,0,0,3,2,0,0,49,1,0,2,0.3,0.3,0.0,2,2,24,40,"60,0",2,23,1,3,2,2024-09-20
Pietro Pellegri,Empoli,9,ITA,FW,23-187,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,1,0,0,2024-09-20
Liam Henderson,Empoli,6,SCO,"AM,CM",28-148,90,0,0,0,0,0,0,0,0,37,0,0,2,0.0,0.0,0.1,4,1,21,29,"72,4",4,10,1,2,1,2024-09-20
Lorenzo Colombo,Empoli,29,ITA,AM,22-196,72,1,0,0,0,3,2,1,0,25,0,0,2,0.4,0.4,0.0,1,0,7,12,"58,3",1,18,0,2,1,2024-09-20
Ola Solbakken,Empoli,17,NOR,AM,26-013,18,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,8,"75,0",1,4,1,1,1,2024-09-20
Alberto Grassi,Empoli,5,ITA,CM,29-197,72,0,0,0,0,0,0,0,0,40,2,1,1,0.0,0.0,0.0,1,0,22,32,"68,8",2,17,1,0,0,2024-09-20
Liberato Cacace,Empoli,13,NZL,AM,23-359,18,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,5,8,"62,5",1,5,1,0,0,2024-09-20
Faustino Anjorin,Empoli,8,ENG,CM,22-302,57,0,1,0,0,0,0,0,0,33,1,0,3,0.0,0.0,0.4,1,1,17,23,"73,9",3,19,1,1,0,2024-09-20
Nicolas Haas,Empoli,32,SUI,CM,28-241,33,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,5,9,"55,6",0,4,0,0,0,2024-09-20
Giuseppe Pezzella,Empoli,3,ITA,WB,26-296,90,0,0,0,0,1,0,0,0,43,3,0,1,0.0,0.0,0.1,4,0,18,28,"64,3",4,6,2,0,0,2024-09-20
Emmanuel Gyasi,Empoli,11,GHA,WB,30-253,89,0,0,0,0,0,0,1,0,41,1,0,2,0.0,0.0,0.0,1,0,20,32,"62,5",1,13,0,0,0,2024-09-20
Mattia De Sciglio,Empoli,22,ITA,WB,31-336,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,2024-09-20
Mattia Viti,Empoli,21,ITA,CB,22-240,90,0,0,0,0,0,0,0,0,45,1,3,3,0.0,0.0,0.0,0,0,23,30,"76,7",0,12,0,0,0,2024-09-20
Ardian Ismajli,Empoli,34,ALB,CB,27-356,90,0,0,0,0,1,0,0,0,48,1,2,1,0.0,0.0,0.0,0,0,17,27,"63,0",0,10,0,0,0,2024-09-20
Saba Goglichidze,Empoli,2,GEO,CB,20-087,90,0,0,0,0,0,0,0,0,34,2,2,1,0.0,0.0,0.0,0,0,17,22,"77,3",6,13,0,1,0,2024-09-20
Devis Vásquez,Empoli,23,COL,GK,26-131,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,19,32,"59,4",0,27,0,0,0,2024-09-20
Amin Sarr,Hellas Verona,9,SWE,FW,23-193,26,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,6,9,"66,7",1,5,0,1,0,2024-09-20
Martin Frese,Hellas Verona,3,DEN,"LB,CB",26-260,64,0,0,0,0,0,0,0,0,42,3,1,0,0.0,0.0,0.1,2,0,17,32,"53,1",1,23,1,1,0,2024-09-20
Casper Tengstedt,Hellas Verona,11,DEN,FW,24-111,66,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,1,0,9,11,"81,8",0,4,1,1,1,2024-09-20
Daniel Mosquera,Hellas Verona,35,COL,FW,24-336,24,1,0,0,0,2,1,0,0,9,0,0,0,0.2,0.2,0.0,1,0,4,6,"66,7",0,6,1,1,0,2024-09-20
Grigoris Kastanos,Hellas Verona,20,CYP,"AM,LM",26-234,67,1,0,0,0,2,1,1,0,23,1,2,2,0.1,0.1,0.0,0,0,11,15,"73,3",2,12,1,0,0,2024-09-20
Dailon Livramento,Hellas Verona,14,CPV,LM,23-139,23,0,0,0,0,1,0,1,0,10,0,0,0,0.1,0.1,0.0,0,0,1,6,"16,7",1,7,2,2,0,2024-09-20
Daniel Bandeira,Hellas Verona,21,POR,CM,24-162,90,0,0,0,0,1,0,0,0,53,1,3,1,0.0,0.0,0.0,1,0,32,44,"72,7",3,26,1,0,0,2024-09-20
Reda Belahyane,Hellas Verona,6,FRA,CM,20-111,90,0,1,0,0,0,0,0,0,46,2,1,0,0.0,0.0,0.2,5,2,29,40,"72,5",1,28,1,5,4,2024-09-20
Darko Lazović,Hellas Verona,8,SRB,WB,34-005,45,0,1,0,0,1,0,0,0,23,1,2,0,0.1,0.1,0.1,2,1,12,20,"60,0",2,11,1,1,0,2024-09-20
Flavius Daniliuc,Hellas Verona,4,AUT,RB,23-146,45,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,0,0,22,28,"78,6",5,21,1,1,1,2024-09-20
Jackson Tchatchoua,Hellas Verona,38,CMR,"WB,RM",23-006,86,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,15,18,"83,3",1,14,3,0,0,2024-09-20
Mathis Lambourde,Hellas Verona,7,FRA,RM,18-255,4,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.1,1,0,2,2,"100,0",0,2,1,0,0,2024-09-20
Paweł Dawidowicz,Hellas Verona,27,POL,CB,29-123,20,0,0,0,0,0,0,0,1,14,0,0,0,0.0,0.0,0.0,1,1,11,11,"100,0",2,8,1,0,0,2024-09-20
Diego Coppola,Hellas Verona,42,ITA,CB,20-267,90,0,0,0,0,0,0,1,0,51,2,1,5,0.0,0.0,0.0,0,0,33,40,"82,5",2,29,0,1,0,2024-09-20
Giangiacomo Magnani,Hellas Verona,23,ITA,CB,28-352,90,0,0,0,0,0,0,0,0,34,1,2,4,0.0,0.0,0.0,0,0,21,25,"84,0",1,19,0,0,0,2024-09-20
Lorenzo Montipò,Hellas Verona,1,ITA,GK,28-213,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,15,31,"48,4",1,11,0,0,0,2024-09-20
Duván Zapata,Torino,91,COL,FW,33-172,90,1,0,0,0,4,1,0,0,39,0,0,0,0.3,0.3,0.1,5,0,20,31,"64,5",2,19,1,2,0,2024-09-20
Antonio Sanabria,Torino,9,PAR,FW,28-200,66,1,0,0,1,3,1,0,0,32,1,0,0,1.7,0.9,0.0,1,0,20,23,"87,0",0,15,0,0,0,2024-09-20
Che Adams,Torino,18,SCO,FW,28-069,24,1,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,7,"71,4",0,5,0,0,0,2024-09-20
Ivan Ilić,Torino,8,SRB,CM,23-187,66,0,0,0,0,1,0,0,0,60,0,0,0,0.1,0.1,0.0,2,1,54,57,"94,7",1,39,2,2,1,2024-09-20
Gvidas Gineitis,Torino,66,LTU,CM,20-158,24,0,0,0,0,2,0,0,0,18,4,0,0,0.0,0.0,0.0,1,0,8,11,"72,7",1,6,0,0,0,2024-09-20
Samuele Ricci,Torino,28,ITA,CM,23-030,89,0,0,0,0,0,0,0,0,97,0,2,2,0.0,0.0,0.0,5,1,83,89,"93,3",6,61,5,2,0,2024-09-20
Eybi Nije,Torino,92,SWE,CM,19-129,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,1,"100,0",0,0,0,0,0,2024-09-20
Adrien Tameze,Torino,61,CMR,CM,30-229,66,0,0,0,0,0,0,0,0,42,1,2,0,0.0,0.0,0.1,1,0,29,39,"74,4",4,24,2,3,1,2024-09-20
Karol Linetty,Torino,77,POL,CM,29-231,24,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,8,10,"80,0",1,7,0,0,0,2024-09-20
Borna Sosa,Torino,24,CRO,WB,26-243,90,0,0,0,0,0,0,0,0,69,1,3,0,0.0,0.0,0.1,2,0,56,64,"87,5",2,37,1,0,0,2024-09-20
Valentino Lazaro,Torino,20,AUT,WB,28-180,90,0,1,0,0,1,0,0,0,88,1,0,1,0.1,0.1,0.2,3,1,62,74,"83,8",4,32,2,3,1,2024-09-20
Adam Masina,Torino,5,MAR,CB,30-262,90,0,0,0,0,0,0,0,0,126,0,0,0,0.0,0.0,0.0,1,0,107,121,"88,4",4,83,1,1,0,2024-09-20
Guillermo Maripán,Torino,13,CHI,CB,30-137,90,0,0,0,0,0,0,0,0,143,1,0,1,0.0,0.0,0.0,1,0,128,137,"93,4",14,88,1,0,0,2024-09-20
Sebastian Walukiewicz,Torino,4,POL,CB,24-168,81,0,0,0,0,3,0,0,0,95,2,1,1,0.1,0.1,0.0,3,1,81,87,"93,1",16,52,3,0,0,2024-09-20
Ali Dembélé,Torino,21,FRA,CB,20-259,9,0,0,0,0,0,0,1,0,9,1,0,0,0.0,0.0,0.0,0,0,5,8,"62,5",1,4,1,0,0,2024-09-20
Vanja Milinković-Savić,Torino,32,SRB,GK,27-213,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,29,34,"85,3",0,23,0,0,0,2024-09-20
Joel Pohjanpalo,Venezia,20,FIN,FW,30-008,88,1,0,0,1,1,1,0,0,35,0,1,0,1.2,0.4,0.0,2,0,20,28,"71,4",1,16,1,1,1,2024-09-21
Christian Gytkjær,Venezia,9,DEN,FW,34-138,2,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,2,5,"40,0",0,4,0,0,0,2024-09-21
Gaetano Oristanio,Venezia,11,ITA,FW,21-359,67,0,0,0,0,1,1,0,0,22,0,0,0,0.1,0.1,0.1,4,0,9,11,"81,8",2,18,1,5,2,2024-09-21
John Yeboah,Venezia,10,ECU,FW,24-090,23,0,1,0,0,1,0,1,0,13,1,0,1,0.0,0.0,0.4,1,1,4,6,"66,7",1,10,3,1,1,2024-09-21
Gianluca Busio,Venezia,6,USA,CM,22-116,88,1,0,0,0,2,1,0,0,50,2,0,0,0.2,0.2,0.1,4,0,30,38,"78,9",6,35,2,0,0,2024-09-21
Domen Črnigoj,Venezia,22,SVN,CM,28-308,2,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,0,3,"0,0",0,3,1,0,0,2024-09-21
Magnus Kofod Andersen,Venezia,38,DEN,CM,25-134,90,0,0,0,0,2,0,0,0,55,1,1,0,0.1,0.1,0.0,4,1,40,50,"80,0",1,36,1,0,0,2024-09-21
Mikael Ellertsson,Venezia,77,ISL,CM,22-194,78,0,0,0,0,2,0,0,0,33,0,0,4,0.1,0.1,0.1,3,0,13,20,"65,0",2,20,1,3,2,2024-09-21
Issa Doumbia,Venezia,97,CIV,CM,20-341,12,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,1,1,2,5,"40,0",1,3,0,0,0,2024-09-21
Ridgeciano Haps,Venezia,5,SUR,WB,31-101,78,0,0,0,0,2,0,0,0,33,2,0,0,0.1,0.1,0.0,0,0,18,26,"69,2",2,7,0,0,0,2024-09-21
